	Site	Site_Main geographic region	Site_Country	Site_Province / Region	Site_Locality	Site_Latitude	Site_Longitude	Site_Site type	Site_description	Site_Quantity	Site_note	Individual	Individual_Archaeologist group	Individual_Archaeologist ID	Individual_Date	Individual_Datation method	Individual_Age	Individual_Gender	Individual_Linked individuals	Individual_description	Individual_Quantity	Individual_note	Skeleton Element	Skeleton Element_Storage	Skeleton Element_Exportation Permit Number	Skeleton Element_Bone type	Skeleton Element_Skeleton element	Skeleton Element_Archaeologist sample ID	Skeleton Element_Observation Drilling	Skeleton Element_Pictures Labelling	Skeleton Element_Observation Labelling	Skeleton Element_Pictures Drilling	Skeleton Element_description	Skeleton Element_Quantity	Skeleton Element_note	Extract	Extract_Storage	Extract_Date of drilling	Extract_Person in charge	Extract_Laboratory where processed	Extract_Extract Type	Extract_Conservation	Extract_Pathology description	Extract_Pathology	Extract_Taken for extraction	Extract_Extraction Comment	Extract_density UDG treatment (ng/uL)	Extract_Volume UDG treatment (uL)	Extract_mass UDG in Tube (ng)	Extract_Extracted	Extract_description	Extract_Quantity	Extract_note	Non Indexed Library	Non Indexed Library_Storage	Non Indexed Library_Person in charge	Non Indexed Library_Date of preparation	Non Indexed Library_Labroatory where prepared	Non Indexed Library_UDG treatment type	Non Indexed Library_SSB and Adapters dilution type	Non Indexed Library_Temporary UDG treated extract location	Non Indexed Library_Initial Volume (uL)	Non Indexed Library_Remaining Volume (uL)	Non Indexed Library_description	Non Indexed Library_Quantity	Non Indexed Library_note	Indexed Library	Indexed Library_Storage	Indexed Library_Person in charge	Indexed Library_Laboratory where processed	Indexed Library_Date of preparation	Indexed Library_qPCR	Indexed Library_number of Ct	Indexed Library_Date of qPCR	Indexed Library_qPCR Comment 	Indexed Library_Dual Unique Index ID	Indexed Library_Indexing PCR (# cycles)	Indexed Library_Density QC-1 nmol/L	Indexed Library_Number of QC performed	Indexed Library_Density QC-1 ng/uL	Indexed Library_QC-1 Elution Volume of Library (uL)	Indexed Library_QC-1 Average Read Length (bp)	Indexed Library_Library Profile	Indexed Library_QC-1 date	Indexed Library_Volume taken for indexing (uL)	Indexed Library_Indexing PCR date	Indexed Library_Sample well in library profile file	Indexed Library_description	Indexed Library_Quantity	Indexed Library_note
0	Alto Verde-Gruta 11	San Juan	Argentina	San Juan	nan	-31.35	-69.44	-	Nothing entered	1.0Unit	Updated from API	AR0311	Gustavo Neme / Fito Gil / Eva Peralta	2134/1-Alto Verde-Gruta 11	1110 (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0311.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Tooth	Tooth	AVG11-I1-1	molar, crown broke into 5 pieces upon cutting, very difficult to cut but full of pulp	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0311	NA	/pasteur/entites/metapaleo/Research/ERC-project/Samples/pictures/Drilling/AR0311.1	/Alto Verde	1.0Unit	Updated from API	AR0311.1.01	Tom Gilbert Freezer, bag A1 + A2, calculus extraction	2021-05-21	Maria Lopopolo	Hannes Schroeder	dental calculus	very little calculus not sure if calculus either	Nothing entered	no	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	Nothing entered	0.006Gram	Nothing entered	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	Alto Verde-Gruta 11	San Juan	Argentina	San Juan	nan	-31.35	-69.44	-	Nothing entered	1.0Unit	Updated from API	AR0311	Gustavo Neme / Fito Gil / Eva Peralta	2134/1-Alto Verde-Gruta 11	1110 (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0311.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Tooth	Tooth	AVG11-I1-1	molar, crown broke into 5 pieces upon cutting, very difficult to cut but full of pulp	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0311	NA	/pasteur/entites/metapaleo/Research/ERC-project/Samples/pictures/Drilling/AR0311.1	/Alto Verde	1.0Unit	Updated from API	AR0311.1.02	Tom Gilbert Freezer, bag A1 + A2, root extraction	2021-05-21	Maria Lopopolo	Hannes Schroeder	root	lots of root with pulp very evident	Nothing entered	no	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	Nothing entered	0.166Gram	Nothing entered	AR0311.1.0200	Freezer 4, drawer 5, UDG-SCR libraries no... 2	Maria Lopopolo	2021-07-15	Copenhagen	partial	c5	not kept	50	30		3.5e-05Liter		AR0311.1.0201	Sequencing	Maria Lopopolo	Copenhagen	2021-07-20	yes	14.22	2021-07-15	Set-up used (second denaturation was 15'') 2 cycles subtracted from qPCR suggestion	36	12	17.3763	1	2.5125	40	238		2021-07-23	20	2021-07-20	H6		3.5e-05Liter	
2	Alto Verde-Gruta 11	San Juan	Argentina	San Juan	nan	-31.35	-69.44	-	Nothing entered	1.0Unit	Updated from API	AR0311	Gustavo Neme / Fito Gil / Eva Peralta	2134/1-Alto Verde-Gruta 11	1110 (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0311.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Tooth	Tooth	AVG11-I1-1	molar, crown broke into 5 pieces upon cutting, very difficult to cut but full of pulp	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0311	NA	/pasteur/entites/metapaleo/Research/ERC-project/Samples/pictures/Drilling/AR0311.1	/Alto Verde	1.0Unit	Updated from API	AR0311.1.03	Tom Gilbert Freezer, bag A1 + A2, root back-up	2021-05-21	Maria Lopopolo	Hannes Schroeder	root	lots of root with pulp very evident	Nothing entered	no	no	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	Nothing entered	0.178Gram	Nothing entered	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	Alto Verde-Gruta 11	San Juan	Argentina	San Juan	nan	-31.35	-69.44	-	Nothing entered	1.0Unit	Updated from API	AR0311	Gustavo Neme / Fito Gil / Eva Peralta	2134/1-Alto Verde-Gruta 11	1110 (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0311.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Tooth	Tooth	AVG11-I1-1	molar, crown broke into 5 pieces upon cutting, very difficult to cut but full of pulp	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0311	NA	/pasteur/entites/metapaleo/Research/ERC-project/Samples/pictures/Drilling/AR0311.1	/Alto Verde	1.0Unit	Updated from API	AR0311.1.04	Tom Gilbert Freezer, bag A1 + A2, pulp extraction	2021-06-15	Maria Lopopolo	Hannes Schroeder	pulp	crwon broken in 5 pieces, expect more contamination	Nothing entered	no	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	Nothing entered	0.075Gram	Nothing entered	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	Alto Verde-Gruta 11	San Juan	Argentina	San Juan	nan	-31.35	-69.44	-	Nothing entered	1.0Unit	Updated from API	AR0311	Gustavo Neme / Fito Gil / Eva Peralta	2134/1-Alto Verde-Gruta 11	1110 (from ind spreadsheet)	NA	>20 años (adulto)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0311.2	Nico office	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-12182773_and_EX-2021-21974530	Petrous	Petrous	AVG11-I1-2	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-1218773_EX-202-21974530/SanJuan/AR0311	NA	NA	/Alto Verde	1.0Unit	Updated from API	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	Arroyo Negro Pincheira	Southern Mendoza	Argentina	Mendoza	nan	-35.52	-69.74	Aislado	Nothing entered	1.0Unit	Updated from API	AR0340	Gustavo Neme / Fito Gil / Eva Peralta	Arroyo Negro Pincheira-Esq. 24-Bolsa 209	358 (from ind spreadsheet)	NA	1-4.9 (infantil)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0340.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-18671622	Tooth	Tooth	ANP-E24-1	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-11921165/Malargue/AR0340	NA	NA	"/
Comment from Drilling Session: very bad preservation, missing apex, root is hollow, very small incisive. I decided to take part of the remaining root because pulp was very low amount, leftover empty crown"	1.0Unit	Updated from API	AR0340.1.01	Hannes Freezer, bag Mix batch, mix batch Peralta Malargue pulp extraction	2021-10-18	Maria Lopopolo	Hannes Schroeder	pulp	may contain soil, it seemd to be hollow with not much pulp powder left to sample	Nothing entered	maybe	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.008Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	Arroyo Negro Pincheira	Southern Mendoza	Argentina	Mendoza	nan	-35.52	-69.74	Aislado	Nothing entered	1.0Unit	Updated from API	AR0340	Gustavo Neme / Fito Gil / Eva Peralta	Arroyo Negro Pincheira-Esq. 24-Bolsa 209	358 (from ind spreadsheet)	NA	1-4.9 (infantil)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0340.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-18671622	Tooth	Tooth	ANP-E24-1	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-11921165/Malargue/AR0340	NA	NA	"/
Comment from Drilling Session: very bad preservation, missing apex, root is hollow, very small incisive. I decided to take part of the remaining root because pulp was very low amount, leftover empty crown"	1.0Unit	Updated from API	AR0340.1.02	Hannes Freezer, bag Mix batch, mix batch Peralta Malargue root extraction	2021-10-18	Maria Lopopolo	Hannes Schroeder	root	took the ramaining root top and skimmed slightly with blade to reduce contamination	Nothing entered	maybe	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.055Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	Arroyo Negro Pincheira	Southern Mendoza	Argentina	Mendoza	nan	-35.52	-69.74	Aislado	Nothing entered	1.0Unit	Updated from API	AR0340	Gustavo Neme / Fito Gil / Eva Peralta	Arroyo Negro Pincheira-Esq. 24-Bolsa 209	358 (from ind spreadsheet)	NA	1-4.9 (infantil)	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0340.2	Nico office	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-18671622	Petrous	Petrous	ANP-E24-2	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-11921165/Malargue/AR0340	NA	NA	/	1.0Unit	Updated from API	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	BF6-Costa	San Matías Gulf	Argentina	Río Negro	nan	-40.838367	-64.657149	nan	Nothing entered	1.0Unit	Updated from API	AR0370	Cristian Favier Dubois / Florencia Borella	BF6-Cos	796+45	C14 ??	NA	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0370.1	Unknown	SanMatias_1aTanda	Petrous	Petrous	NR11	we don't know	noPicture	NA	NA	nan	1.0Unit	Updated from API	AR0370.1.01	Unknown	1900-01-01	Maria Lopopolo	Hannes Schroeder	petrous	no information about those	Nothing entered	maybe	yes	we don't know	100000.0	100000.0	10000000000.0	yes	Nothing entered	1000000.0Gram	Updated from API	AR0370.1.0100	Freezer 4, drawer 5, UDG-SCR libraries no... 2	Maria Lopopolo	2021-07-15	Copenhagen	partial	c5	not kept	50	30		3.5e-05Liter		AR0370.1.0101	Sequencing	Maria Lopopolo	Copenhagen	2021-07-21	yes	12.34	2021-07-16	Set-up used (second denaturation was 15'') 2 cycles subtracted from qPCR suggestion	27	10	9.5505	1	1.057	40	182		2021-07-23	20	2021-07-20	B9		3.5e-05Liter	
9	BQ-CIMA DE LOS HUESOS	San Matías Gulf	Argentina	Río Negro	nan	-40.91349	-64.416035	nan	Nothing entered	1.0Unit	Updated from API	AR0368	Cristian Favier Dubois / Florencia Borella	BQCH-6	(1225+47)*	C14 ??	NA	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0368.1	Unknown	SanMatias_1aTanda	Petrous	Petrous	NR09	we don't know	noPicture	NA	NA	nan	1.0Unit	Updated from API	AR0368.1.01	Unknown	1900-01-01	Maria Lopopolo	Hannes Schroeder	petrous	no information about those	Nothing entered	maybe	yes	we don't know	100000.0	100000.0	10000000000.0	yes	Nothing entered	1000000.0Gram	Updated from API	AR0368.1.0100	Freezer 4, drawer 5, UDG-SCR libraries no... 2	Maria Lopopolo	2021-07-15	Copenhagen	partial	c5	not kept	50	30		3.5e-05Liter		AR0368.1.0101	Sequencing	Maria Lopopolo	Copenhagen	2021-07-21	yes	12.74	2021-07-16	Set-up used (second denaturation was 15'') 2 cycles subtracted from qPCR suggestion	32	11	9.9561	1	1.0503	40	173		2021-07-23	20	2021-07-20	H8		3.5e-05Liter	
10	BQ-CIMA DE LOS HUESOS	San Matías Gulf	Argentina	Río Negro	nan	-40.91349	-64.416035	nan	Nothing entered	1.0Unit	Updated from API	AR0369	Cristian Favier Dubois / Florencia Borella	BQCH-3	1173+45	C14 ??	NA	NA	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0369.1	Unknown	SanMatias_1aTanda	Petrous	Petrous	NR10	we don't know	noPicture	NA	NA	nan	1.0Unit	Updated from API	AR0369.1.01	Unknown	1900-01-01	Maria Lopopolo	Hannes Schroeder	petrous	no information about those	Nothing entered	maybe	yes	we don't know	100000.0	100000.0	10000000000.0	yes	Nothing entered	1000000.0Gram	Updated from API	AR0369.1.0100	Freezer 4, drawer 5, UDG-SCR libraries no... 2	Maria Lopopolo	2021-07-15	Copenhagen	partial	c5	not kept	50	30		3.5e-05Liter		AR0369.1.0101	Sequencing	Maria Lopopolo	Copenhagen	2021-07-21	yes	14.59	2021-07-16	Set-up used (second denaturation was 15'') 2 cycles subtracted from qPCR suggestion	39	13	37.6351	1	3.6972	40	161		2021-07-23	20	2021-07-20	A9		3.5e-05Liter	
11	Bajada de la Tropas	Southern Mendoza	Argentina	Mendoza	nan	-35.54	-69.62	Múltiple individualizado	Nothing entered	1.0Unit	Updated from API	AR0348	Gustavo Neme / Fito Gil / Eva Peralta	BT1-R3-4-4-Ind.4	523/307 (from site spreadsheet)	NA	1-4.9 (infantil)	Female	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0348.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-18671622	Tooth	Tooth	BT1-R3-I4-1	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-11921165/Malargue/AR0348	broken roots (emptied). Very dark	NA	"/
Comment from Drilling Session: missing all 4 roots, chil molar, dark colour metallic grey, broken roots were hollow so dirt may have entered in it or other contaminats, roots had alsoblack fibers in it. Check pictures after CEJ cut "	1.0Unit	Updated from API	AR0348.1.01	Hannes Freezer, bag B1 + B2, pulp extraction	2021-10-08	Maria Lopopolo	Hannes Schroeder	pulp	has black fibers in it, either external fibers or fossilised blood vessels, pulp chambers looked kind of hollow with not much powder in it just fibers and dark colour	Nothing entered	maybe	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.028Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	Bajada de la Tropas	Southern Mendoza	Argentina	Mendoza	nan	-35.54	-69.62	Múltiple individualizado	Nothing entered	1.0Unit	Updated from API	AR0348	Gustavo Neme / Fito Gil / Eva Peralta	BT1-R3-4-4-Ind.4	523/307 (from site spreadsheet)	NA	1-4.9 (infantil)	Female	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0348.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-18671622	Tooth	Tooth	BT1-R3-I4-1	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-11921165/Malargue/AR0348	broken roots (emptied). Very dark	NA	"/
Comment from Drilling Session: missing all 4 roots, chil molar, dark colour metallic grey, broken roots were hollow so dirt may have entered in it or other contaminats, roots had alsoblack fibers in it. Check pictures after CEJ cut "	1.0Unit	Updated from API	AR0348.1.02	Hannes Freezer, bag B1 + B2, pulp extraction	2021-10-08	Maria Lopopolo	Hannes Schroeder	pulp	pulp + enamel grinded together, tried to take out the pieces of big enamel	Nothing entered	maybe	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.126Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	Bajada de la Tropas	Southern Mendoza	Argentina	Mendoza	nan	-35.54	-69.62	Múltiple individualizado	Nothing entered	1.0Unit	Updated from API	AR0348	Gustavo Neme / Fito Gil / Eva Peralta	BT1-R3-4-4-Ind.4	523/307 (from site spreadsheet)	NA	1-4.9 (infantil)	Female	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0348.2	With Lumila	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-18671622	Petrous	Petrous	BT1-R3-I4-2	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-11921165/Malargue/AR0348	very sporious	NA	/	1.0Unit	Updated from API	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	Bajada de la Tropas	Southern Mendoza	Argentina	Mendoza	nan	-35.54	-69.62	Múltiple individualizado	Nothing entered	1.0Unit	Updated from API	AR0349	Gustavo Neme / Fito Gil / Eva Peralta	BT1-R1-2-95-Ind.2	307 (from ind spreadsheet)	NA	5-9.9 años (niño)	Male	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0349.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-18671622	Tooth	Tooth	BT1-R1-I2-1	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-11921165/Malargue/AR0349	Broken roots (emptied)	NA	"/
Comment from Drilling Session: missing all roots, darkened top roots, stained, hollow and very thing roots, Hence sampled pulp. As per Tartu decontamination + 10 min UV light in safety cabinet"	1.0Unit	Updated from API	AR0349.1.01	Hannes Freezer, bag Mix batch, mix batch Peralta Malargue pulp extraction	2021-10-19	Maria Lopopolo	Hannes Schroeder	pulp	may contain soil, was very hard to drill, almost empty, might just be enamel 	Nothing entered	maybe	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.039Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	Bajada de la Tropas	Southern Mendoza	Argentina	Mendoza	nan	-35.54	-69.62	Múltiple individualizado	Nothing entered	1.0Unit	Updated from API	AR0349	Gustavo Neme / Fito Gil / Eva Peralta	BT1-R1-2-95-Ind.2	307 (from ind spreadsheet)	NA	5-9.9 años (niño)	Male	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0349.2	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-18671622	Petrous	Petrous	BT1-R1-I2-2	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-11921165/Malargue/AR0349	NA	NA	/	1.0Unit	Updated from API	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	Bajada de la Tropas	Southern Mendoza	Argentina	Mendoza	nan	-35.54	-69.62	Múltiple individualizado	Nothing entered	1.0Unit	Updated from API	AR0350	Gustavo Neme / Fito Gil / Eva Peralta	BT1-R2-3-6-Ind.3	523/307 (from site spreadsheet)	NA	1-4.9 (infantil)	Female	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0350.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/GilNemePeralta/EX-2021-18671622	Tooth	Tooth	BT1-R2-I3	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/NemeGilPerralta/EX-2021-11921165/Malargue/AR0350.1	NA	NA	"/
Comment from Drilling Session: broken apex, no calculus, small incisive, may be contaminated as root was broken, broken crown 
Comment from Drilling Session: broken apex, no calculus, small incisive, may be contaminated as root was broken, broken crown "	1.0Unit	Updated from API	AR0350.1.01	Hannes Freezer, bag B1 + B2, pulp extraction	2021-10-04	Maria Lopopolo	Hannes Schroeder	pulp	small tooth so not much powder	Nothing entered	no	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.021Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	Barrancas B6	Mendoza Lowlands / Northern Mendoza	Argentina	Mendoza	Maipú	-33.09325	-68.746416666667	Dune	Nothing entered	1.0Unit	Updated from API	AR0146	Ramiro Barberena	2	NA	NA	40-44	Male	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0146.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/RamiroBarberena/EX-2021-18124171	Tooth	M3i Md	B6.2	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/RamiroBarbarena/EX-2021-18124171/BarrancasB6/AR0146.1	NA	NA	migrant?	1.0Unit	Updated from API	AR0146.1.01	Hannes Freezer, bag Mix batch, mix batch ramiro barberena calculus extraction	2021-10-12	Maria Lopopolo	Hannes Schroeder	dental calculus	very good calculus, quite a lot of it	Nothing entered	maybe	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.037Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	Barrancas B6	Mendoza Lowlands / Northern Mendoza	Argentina	Mendoza	Maipú	-33.09325	-68.746416666667	Dune	Nothing entered	1.0Unit	Updated from API	AR0146	Ramiro Barberena	2	NA	NA	40-44	Male	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0146.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/RamiroBarberena/EX-2021-18124171	Tooth	M3i Md	B6.2	NA	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/RamiroBarbarena/EX-2021-18124171/BarrancasB6/AR0146.1	NA	NA	migrant?	1.0Unit	Updated from API	AR0146.1.02	Hannes Freezer, bag Mix batch, mix batch ramiro barberena root extraction	2021-10-12	Maria Lopopolo	Hannes Schroeder	root apex	sampled one of the fused roots may have glue	Nothing entered	maybe	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	nan	0.109Gram	nan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	Barrancas B6	Mendoza Lowlands / Northern Mendoza	Argentina	Mendoza	Maipú	-33.09325	-68.746416666667	Dune	Nothing entered	1.0Unit	Updated from API	AR0147	Ramiro Barberena	4	NA	NA	20-24	Female	Nothing entered	Nothing entered	1.0Unit	Updated from API	AR0147.1	In Copenhagen	/pasteur/entites/metapaleo/Research/ERC-project/Samples/ExportPermits/RamiroBarberena/EX-2021-18124171	Tooth	PM2i Md	B6.4	brown-ish root apex only	/pasteur/gaia/entites/metapaleo/Research/ERC-project/Samples/pictures/RamiroBarbarena/EX-2021-18124171/BarrancasB6/AR0147.1	NA	/pasteur/entites/metapaleo/Research/ERC-project/Samples/pictures/Drilling/AR0147.1	migrant?	1.0Unit	Updated from API	AR0147.1.02	Hannes Freezer, bag B1 + B2, root extraction	2021-09-28	Maria Lopopolo	Hannes Schroeder	root apex	change of colour at the root apex but does not seem like external it just seem like a colour change of the tooth itself	Nothing entered	no	yes	Nothing entered	Nothing entered	Nothing entered	Nothing entered	NA	Nothing entered	0.1Gram	Nothing entered	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
